exception_id,exception_type,severity,owner,region,area_manager,age_days,status,recommended_action,campaign_id,store_id,sku,allocation_id,confirmation_id,message,created_date,sla_status,priority_score
EXC-297,missing_photo_proof,critical,Field Representative,South,Maria Rodriguez,12,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-095,PEACH-006,A-294-S-095-PEACH-006,CONF-288-S-095-PEACH-006,Confirmation CONF-288-S-095-PEACH-006 has no photo proof records.,2026-07-03,breached,375
EXC-309,missing_photo_proof,critical,Field Representative,West,Robert Taylor,12,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-096,PEACH-007,A-415-S-096-PEACH-007,CONF-404-S-096-PEACH-007,Confirmation CONF-404-S-096-PEACH-007 has no photo proof records.,2026-07-03,breached,375
EXC-284,missing_photo_proof,critical,Field Representative,West,Emma Wilson,11,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-012,PEACH-003,A-147-S-012-PEACH-003,CONF-145-S-012-PEACH-003,Confirmation CONF-145-S-012-PEACH-003 has no photo proof records.,2026-07-04,breached,375
EXC-290,missing_photo_proof,critical,Field Representative,South,Marcus Lee,11,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-054,PEACH-006,A-210-S-054-PEACH-006,CONF-207-S-054-PEACH-006,Confirmation CONF-207-S-054-PEACH-006 has no photo proof records.,2026-07-04,breached,375
EXC-295,missing_photo_proof,critical,Field Representative,South,David Park,10,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-048,PEACH-006,A-258-S-048-PEACH-006,CONF-254-S-048-PEACH-006,Confirmation CONF-254-S-048-PEACH-006 has no photo proof records.,2026-07-05,breached,375
EXC-296,missing_photo_proof,critical,Field Representative,South,David Park,9,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-048,PEACH-009,A-261-S-048-PEACH-009,CONF-257-S-048-PEACH-009,Confirmation CONF-257-S-048-PEACH-009 has no photo proof records.,2026-07-06,breached,375
EXC-299,missing_photo_proof,critical,Field Representative,South,Marcus Lee,9,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-079,PEACH-012,A-312-S-079-PEACH-012,CONF-304-S-079-PEACH-012,Confirmation CONF-304-S-079-PEACH-012 has no photo proof records.,2026-07-06,breached,375
EXC-281,missing_photo_proof,critical,Field Representative,North,Jennifer Kim,8,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-037,PEACH-008,A-056-S-037-PEACH-008,CONF-055-S-037-PEACH-008,Confirmation CONF-055-S-037-PEACH-008 has no photo proof records.,2026-07-07,breached,375
EXC-292,missing_photo_proof,critical,Field Representative,South,Ahmed Hassan,6,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-051,PEACH-005,A-233-S-051-PEACH-005,CONF-230-S-051-PEACH-005,Confirmation CONF-230-S-051-PEACH-005 has no photo proof records.,2026-07-09,breached,375
EXC-300,missing_photo_proof,critical,Field Representative,East,Ahmed Hassan,4,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-084,PEACH-004,A-328-S-084-PEACH-004,CONF-320-S-084-PEACH-004,Confirmation CONF-320-S-084-PEACH-004 has no photo proof records.,2026-07-11,breached,375
EXC-306,missing_photo_proof,critical,Field Representative,East,Emma Wilson,4,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-005,PEACH-008,A-404-S-005-PEACH-008,CONF-393-S-005-PEACH-008,Confirmation CONF-393-S-005-PEACH-008 has no photo proof records.,2026-07-11,breached,375
EXC-046,late_confirmation,critical,Store Manager,South,Maria Rodriguez,3,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-021,PEACH-008,A-080-S-021-PEACH-008,CONF-079-S-021-PEACH-008,"Confirmation CONF-079-S-021-PEACH-008 posted on 2026-07-12, 4 days after the launch window deadline (2026-07-08).",2026-07-12,breached,375
EXC-048,late_confirmation,critical,Store Manager,South,Robert Taylor,3,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-019,PEACH-012,A-132-S-019-PEACH-012,CONF-130-S-019-PEACH-012,"Confirmation CONF-130-S-019-PEACH-012 posted on 2026-07-12, 4 days after the launch window deadline (2026-07-08).",2026-07-12,breached,375
EXC-052,late_confirmation,critical,Store Manager,East,Lisa Wong,3,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-004,PEACH-002,A-194-S-004-PEACH-002,CONF-191-S-004-PEACH-002,"Confirmation CONF-191-S-004-PEACH-002 posted on 2026-07-12, 4 days after the launch window deadline (2026-07-08).",2026-07-12,breached,375
EXC-053,late_confirmation,critical,Store Manager,East,Lisa Wong,3,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-004,PEACH-010,A-202-S-004-PEACH-010,CONF-199-S-004-PEACH-010,"Confirmation CONF-199-S-004-PEACH-010 posted on 2026-07-12, 4 days after the launch window deadline (2026-07-08).",2026-07-12,breached,375
EXC-058,late_confirmation,critical,Store Manager,West,Maria Rodriguez,3,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-087,PEACH-007,A-319-S-087-PEACH-007,CONF-311-S-087-PEACH-007,"Confirmation CONF-311-S-087-PEACH-007 posted on 2026-07-12, 4 days after the launch window deadline (2026-07-08).",2026-07-12,breached,375
EXC-388,late_photo_proof,critical,Field Representative,South,Maria Rodriguez,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-021,,,CONF-079-S-021-PEACH-008,"Photo proof PH-178-V-079-S-021 submitted on 2026-07-12T14:30:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T14:30:00-05:00,breached,375
EXC-389,late_photo_proof,critical,Field Representative,South,Maria Rodriguez,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-021,,,CONF-079-S-021-PEACH-008,"Photo proof PH-179-V-079-S-021 submitted on 2026-07-12T09:00:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T09:00:00-05:00,breached,375
EXC-393,late_photo_proof,critical,Field Representative,South,Robert Taylor,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-019,,,CONF-130-S-019-PEACH-012,"Photo proof PH-305-V-130-S-019 submitted on 2026-07-12T18:15:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T18:15:00-05:00,breached,375
EXC-394,late_photo_proof,critical,Field Representative,South,Robert Taylor,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-019,,,CONF-130-S-019-PEACH-012,"Photo proof PH-306-V-130-S-019 submitted on 2026-07-12T15:30:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T15:30:00-05:00,breached,375
EXC-395,late_photo_proof,critical,Field Representative,South,Robert Taylor,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-019,,,CONF-130-S-019-PEACH-012,"Photo proof PH-307-V-130-S-019 submitted on 2026-07-12T16:45:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T16:45:00-05:00,breached,375
EXC-396,late_photo_proof,critical,Field Representative,South,Robert Taylor,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-019,,,CONF-130-S-019-PEACH-012,"Photo proof PH-308-V-130-S-019 submitted on 2026-07-12T14:00:00-05:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T14:00:00-05:00,breached,375
EXC-403,late_photo_proof,critical,Field Representative,East,Lisa Wong,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-004,,,CONF-191-S-004-PEACH-002,"Photo proof PH-444-V-191-S-004 submitted on 2026-07-12T13:30:00-04:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T13:30:00-04:00,breached,375
EXC-404,late_photo_proof,critical,Field Representative,East,Lisa Wong,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-004,,,CONF-199-S-004-PEACH-010,"Photo proof PH-462-V-199-S-004 submitted on 2026-07-12T14:15:00-04:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T14:15:00-04:00,breached,375
EXC-414,late_photo_proof,critical,Field Representative,West,Maria Rodriguez,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-087,,,CONF-311-S-087-PEACH-007,"Photo proof PH-740-V-311-S-087 submitted on 2026-07-12T10:45:00-07:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T10:45:00-07:00,breached,375
EXC-415,late_photo_proof,critical,Field Representative,West,Maria Rodriguez,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-087,,,CONF-311-S-087-PEACH-007,"Photo proof PH-741-V-311-S-087 submitted on 2026-07-12T12:45:00-07:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T12:45:00-07:00,breached,375
EXC-416,late_photo_proof,critical,Field Representative,West,Maria Rodriguez,3,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-087,,,CONF-311-S-087-PEACH-007,"Photo proof PH-742-V-311-S-087 submitted on 2026-07-12T09:30:00-07:00, 4 days after the launch window deadline (2026-07-08).",2026-07-12T09:30:00-07:00,breached,375
EXC-056,late_confirmation,critical,Store Manager,South,Marcus Lee,2,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-079,PEACH-007,A-307-S-079-PEACH-007,CONF-299-S-079-PEACH-007,"Confirmation CONF-299-S-079-PEACH-007 posted on 2026-07-13, 5 days after the launch window deadline (2026-07-08).",2026-07-13,approaching,375
EXC-063,late_confirmation,critical,Store Manager,South,Emma Wilson,2,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-090,PEACH-001,A-373-S-090-PEACH-001,CONF-362-S-090-PEACH-001,"Confirmation CONF-362-S-090-PEACH-001 posted on 2026-07-13, 5 days after the launch window deadline (2026-07-08).",2026-07-13,approaching,390
EXC-408,late_photo_proof,critical,Field Representative,South,Marcus Lee,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-079,,,CONF-299-S-079-PEACH-007,"Photo proof PH-709-V-299-S-079 submitted on 2026-07-13T11:45:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T11:45:00-05:00,approaching,375
EXC-409,late_photo_proof,critical,Field Representative,South,Marcus Lee,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-079,,,CONF-299-S-079-PEACH-007,"Photo proof PH-710-V-299-S-079 submitted on 2026-07-13T09:30:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T09:30:00-05:00,approaching,375
EXC-410,late_photo_proof,critical,Field Representative,South,Marcus Lee,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-079,,,CONF-299-S-079-PEACH-007,"Photo proof PH-711-V-299-S-079 submitted on 2026-07-13T14:30:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T14:30:00-05:00,approaching,375
EXC-411,late_photo_proof,critical,Field Representative,South,Marcus Lee,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-079,,,CONF-299-S-079-PEACH-007,"Photo proof PH-712-V-299-S-079 submitted on 2026-07-13T13:30:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T13:30:00-05:00,approaching,375
EXC-421,late_photo_proof,critical,Field Representative,South,Emma Wilson,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-090,,,CONF-362-S-090-PEACH-001,"Photo proof PH-862-V-362-S-090 submitted on 2026-07-13T11:30:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T11:30:00-05:00,approaching,375
EXC-422,late_photo_proof,critical,Field Representative,South,Emma Wilson,2,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-090,,,CONF-362-S-090-PEACH-001,"Photo proof PH-863-V-362-S-090 submitted on 2026-07-13T17:45:00-05:00, 5 days after the launch window deadline (2026-07-08).",2026-07-13T17:45:00-05:00,approaching,375
EXC-045,late_confirmation,critical,Store Manager,East,Maria Rodriguez,1,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-092,PEACH-010,A-022-S-092-PEACH-010,CONF-022-S-092-PEACH-010,"Confirmation CONF-022-S-092-PEACH-010 posted on 2026-07-14, 6 days after the launch window deadline (2026-07-08).",2026-07-14,within,350
EXC-061,late_confirmation,critical,Store Manager,West,Ahmed Hassan,1,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-041,PEACH-012,A-348-S-041-PEACH-012,CONF-339-S-041-PEACH-012,"Confirmation CONF-339-S-041-PEACH-012 posted on 2026-07-14, 6 days after the launch window deadline (2026-07-08).",2026-07-14,within,350
EXC-301,missing_photo_proof,critical,Field Representative,West,Ahmed Hassan,1,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-041,PEACH-012,A-348-S-041-PEACH-012,CONF-339-S-041-PEACH-012,Confirmation CONF-339-S-041-PEACH-012 has no photo proof records.,2026-07-14,within,350
EXC-387,late_photo_proof,critical,Field Representative,East,Maria Rodriguez,1,open,Review photo submission process; ensure timely upload within launch window.,C-2026-PEACH,S-092,,,CONF-022-S-092-PEACH-010,"Photo proof PH-038-V-022-S-092 submitted on 2026-07-14T18:30:00-04:00, 6 days after the launch window deadline (2026-07-08).",2026-07-14T18:30:00-04:00,within,350
EXC-016,missing_confirmation,critical,Field Operations,South,Emma Wilson,0,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-BTS,S-090,BTS-001,A-541-S-090-BTS-001,,Allocation A-541-S-090-BTS-001 (shipment SH-541-S-090-BTS-001) has no store confirmation record.,2026-07-25,within,330
EXC-019,missing_confirmation,critical,Field Operations,West,Jennifer Kim,0,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-BTS,S-071,BTS-001,A-581-S-071-BTS-001,,Allocation A-581-S-071-BTS-001 (shipment SH-581-S-071-BTS-001) has no store confirmation record.,2026-07-27,within,330
EXC-024,missing_confirmation,critical,Field Operations,West,Ahmed Hassan,0,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-BTS,S-055,BTS-001,A-801-S-055-BTS-001,,Allocation A-801-S-055-BTS-001 (shipment SH-801-S-055-BTS-001) has no store confirmation record.,2026-07-26,within,330
EXC-027,missing_confirmation,critical,Field Operations,West,Marcus Lee,0,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-BTS,S-043,BTS-001,A-871-S-043-BTS-001,,Allocation A-871-S-043-BTS-001 (shipment SH-871-S-043-BTS-001) has no store confirmation record.,2026-07-28,within,330
EXC-040,missing_confirmation,critical,Field Operations,West,Lisa Wong,0,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-FCL,S-045,FCL-001,A-1281-S-045-FCL-001,,Allocation A-1281-S-045-FCL-001 (shipment SH-1281-S-045-FCL-001) has no store confirmation record.,2026-08-26,within,330
EXC-049,late_confirmation,critical,Store Manager,East,Marcus Lee,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-056,PEACH-007,A-139-S-056-PEACH-007,CONF-137-S-056-PEACH-007,"Confirmation CONF-137-S-056-PEACH-007 posted on 2026-07-15, 7 days after the launch window deadline (2026-07-08).",2026-07-15,within,325
EXC-060,late_confirmation,critical,Store Manager,West,Ahmed Hassan,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-041,PEACH-002,A-338-S-041-PEACH-002,CONF-329-S-041-PEACH-002,"Confirmation CONF-329-S-041-PEACH-002 posted on 2026-07-15, 7 days after the launch window deadline (2026-07-08).",2026-07-15,within,325
EXC-066,late_confirmation,critical,Store Manager,West,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-PEACH,S-096,PEACH-008,A-416-S-096-PEACH-008,CONF-405-S-096-PEACH-008,"Confirmation CONF-405-S-096-PEACH-008 posted on 2026-07-15, 7 days after the launch window deadline (2026-07-08).",2026-07-15,within,325
EXC-070,late_confirmation,critical,Store Manager,East,Ahmed Hassan,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-038,BTS-006,A-486-S-038-BTS-006,CONF-473-S-038-BTS-006,"Confirmation CONF-473-S-038-BTS-006 posted on 2026-08-14, 6 days after the launch window deadline (2026-08-08).",2026-08-14,within,315
EXC-071,late_confirmation,critical,Store Manager,North,Maria Rodriguez,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-018,BTS-010,A-510-S-018-BTS-010,CONF-496-S-018-BTS-010,"Confirmation CONF-496-S-018-BTS-010 posted on 2026-08-12, 4 days after the launch window deadline (2026-08-08).",2026-08-12,within,315
EXC-072,late_confirmation,critical,Store Manager,South,Emma Wilson,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-039,BTS-007,A-567-S-039-BTS-007,CONF-550-S-039-BTS-007,"Confirmation CONF-550-S-039-BTS-007 posted on 2026-08-13, 5 days after the launch window deadline (2026-08-08).",2026-08-13,within,315
EXC-073,late_confirmation,critical,Store Manager,North,Jennifer Kim,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-094,BTS-007,A-577-S-094-BTS-007,CONF-559-S-094-BTS-007,"Confirmation CONF-559-S-094-BTS-007 posted on 2026-08-12, 4 days after the launch window deadline (2026-08-08).",2026-08-12,within,315
EXC-075,late_confirmation,critical,Store Manager,West,Ahmed Hassan,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-091,BTS-005,A-605-S-091-BTS-005,CONF-585-S-091-BTS-005,"Confirmation CONF-585-S-091-BTS-005 posted on 2026-08-13, 5 days after the launch window deadline (2026-08-08).",2026-08-13,within,330
EXC-078,late_confirmation,critical,Store Manager,East,Lisa Wong,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-027,BTS-002,A-642-S-027-BTS-002,CONF-620-S-027-BTS-002,"Confirmation CONF-620-S-027-BTS-002 posted on 2026-08-14, 6 days after the launch window deadline (2026-08-08).",2026-08-14,within,315
EXC-079,late_confirmation,critical,Store Manager,East,Lisa Wong,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-027,BTS-007,A-647-S-027-BTS-007,CONF-625-S-027-BTS-007,"Confirmation CONF-625-S-027-BTS-007 posted on 2026-08-12, 4 days after the launch window deadline (2026-08-08).",2026-08-12,within,315
EXC-082,late_confirmation,critical,Store Manager,East,Jennifer Kim,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-062,BTS-002,A-762-S-062-BTS-002,CONF-739-S-062-BTS-002,"Confirmation CONF-739-S-062-BTS-002 posted on 2026-08-15, 7 days after the launch window deadline (2026-08-08).",2026-08-15,within,315
EXC-085,late_confirmation,critical,Store Manager,North,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-002,BTS-008,A-818-S-002-BTS-008,CONF-794-S-002-BTS-008,"Confirmation CONF-794-S-002-BTS-008 posted on 2026-08-13, 5 days after the launch window deadline (2026-08-08).",2026-08-13,within,315
EXC-086,late_confirmation,critical,Store Manager,North,Marcus Lee,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-014,BTS-009,A-829-S-014-BTS-009,CONF-805-S-014-BTS-009,"Confirmation CONF-805-S-014-BTS-009 posted on 2026-08-13, 5 days after the launch window deadline (2026-08-08).",2026-08-13,within,315
EXC-087,late_confirmation,critical,Store Manager,North,Jennifer Kim,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-010,BTS-007,A-857-S-010-BTS-007,CONF-831-S-010-BTS-007,"Confirmation CONF-831-S-010-BTS-007 posted on 2026-08-15, 7 days after the launch window deadline (2026-08-08).",2026-08-15,within,315
EXC-091,late_confirmation,critical,Store Manager,East,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-083,BTS-001,A-961-S-083-BTS-001,CONF-931-S-083-BTS-001,"Confirmation CONF-931-S-083-BTS-001 posted on 2026-08-12, 4 days after the launch window deadline (2026-08-08).",2026-08-12,within,330
EXC-092,late_confirmation,critical,Store Manager,East,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-083,BTS-005,A-965-S-083-BTS-005,CONF-935-S-083-BTS-005,"Confirmation CONF-935-S-083-BTS-005 posted on 2026-08-14, 6 days after the launch window deadline (2026-08-08).",2026-08-14,within,315
EXC-093,late_confirmation,critical,Store Manager,East,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-BTS,S-083,BTS-010,A-970-S-083-BTS-010,CONF-940-S-083-BTS-010,"Confirmation CONF-940-S-083-BTS-010 posted on 2026-08-14, 6 days after the launch window deadline (2026-08-08).",2026-08-14,within,315
EXC-094,late_confirmation,critical,Store Manager,North,Robert Taylor,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-FCL,S-025,FCL-004,A-974-S-025-FCL-004,CONF-943-S-025-FCL-004,"Confirmation CONF-943-S-025-FCL-004 posted on 2026-09-14, 6 days after the launch window deadline (2026-09-08).",2026-09-14,within,315
EXC-097,late_confirmation,critical,Store Manager,East,Emma Wilson,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-FCL,S-003,FCL-010,A-1040-S-003-FCL-010,CONF-1007-S-003-FCL-010,"Confirmation CONF-1007-S-003-FCL-010 posted on 2026-09-14, 6 days after the launch window deadline (2026-09-08).",2026-09-14,within,315
EXC-099,late_confirmation,critical,Store Manager,West,Maria Rodriguez,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-FCL,S-087,FCL-009,A-1079-S-087-FCL-009,CONF-1045-S-087-FCL-009,"Confirmation CONF-1045-S-087-FCL-009 posted on 2026-09-15, 7 days after the launch window deadline (2026-09-08).",2026-09-15,within,315
EXC-100,late_confirmation,critical,Store Manager,East,Sarah Chen,0,open,Dispatch field rep to complete setup; escalate to area manager.,C-2026-FCL,S-086,FCL-001,A-1081-S-086-FCL-001,CONF-1047-S-086-FCL-001,"Confirmation CONF-1047-S-086-FCL-001 posted on 2026-09-13, 5 days after the launch window deadline (2026-09-08).",2026-09-13,within,330
EXC-1001,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-005,,,Low sell-through for SKU PEACH-005 at store S-058: sell-through=0.0% vs target 70%.,2026-07-28,within,325
EXC-1003,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-007,,,Low sell-through for SKU PEACH-007 at store S-058: sell-through=0.0% vs target 70%.,2026-07-28,within,325
EXC-1004,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-008,,,Low sell-through for SKU PEACH-008 at store S-058: sell-through=17.6% vs target 70%.,2026-07-28,within,325
EXC-1005,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-009,,,Low sell-through for SKU PEACH-009 at store S-058: sell-through=33.3% vs target 70%.,2026-07-28,within,325
EXC-1006,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-010,,,Low sell-through for SKU PEACH-010 at store S-058: sell-through=0.0% vs target 70%.,2026-07-28,within,325
EXC-1008,low_sell_through,critical,Merchant + Planner,North,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-058,PEACH-012,,,Low sell-through for SKU PEACH-012 at store S-058: sell-through=14.3% vs target 70%.,2026-07-28,within,325
EXC-1012,low_sell_through,critical,Merchant + Planner,South,Robert Taylor,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-019,PEACH-007,,,Low sell-through for SKU PEACH-007 at store S-019: sell-through=27.2% vs target 70%.,2026-07-28,within,325
EXC-1016,low_sell_through,critical,Merchant + Planner,East,Marcus Lee,0,open,Review pricing and display; consider promo acceleration.,C-2026-PEACH,S-056,PEACH-006,,,Low sell-through for SKU PEACH-006 at store S-056: sell-through=31.7% vs target 70%.,2026-07-28,within,325
