shipment_id,allocation_id,campaign_id,sku,store_id,shipped_quantity,shipped_date,expected_arrival_date,carton_count,dc_id,carrier
SH-033-S-067-PEACH-009,A-033-S-067-PEACH-009,C-2026-PEACH,PEACH-009,S-067,67,2026-06-24,2026-06-28,2,DC-02,Reliable Transport
SH-034-S-067-PEACH-010,A-034-S-067-PEACH-010,C-2026-PEACH,PEACH-010,S-067,90,2026-06-24,2026-06-26,3,DC-01,Reliable Transport
SH-035-S-067-PEACH-011,A-035-S-067-PEACH-011,C-2026-PEACH,PEACH-011,S-067,84,2026-06-26,2026-06-29,3,DC-01,Reliable Transport
SH-036-S-067-PEACH-012,A-036-S-067-PEACH-012,C-2026-PEACH,PEACH-012,S-067,86,2026-06-26,2026-06-28,3,DC-03,QuickShip Logistics
SH-037-S-016-PEACH-001,A-037-S-016-PEACH-001,C-2026-PEACH,PEACH-001,S-016,211,2026-06-26,2026-06-28,8,DC-03,QuickShip Logistics
SH-038-S-016-PEACH-002,A-038-S-016-PEACH-002,C-2026-PEACH,PEACH-002,S-016,51,2026-06-22,2026-06-26,2,DC-01,QuickShip Logistics
SH-039-S-016-PEACH-003,A-039-S-016-PEACH-003,C-2026-PEACH,PEACH-003,S-016,69,2026-06-25,2026-06-28,2,DC-03,Reliable Transport
SH-040-S-016-PEACH-004,A-040-S-016-PEACH-004,C-2026-PEACH,PEACH-004,S-016,64,2026-06-22,2026-06-26,2,DC-02,QuickShip Logistics
SH-041-S-016-PEACH-005,A-041-S-016-PEACH-005,C-2026-PEACH,PEACH-005,S-016,41,2026-06-24,2026-06-28,1,DC-01,Reliable Transport
SH-042-S-016-PEACH-006,A-042-S-016-PEACH-006,C-2026-PEACH,PEACH-006,S-016,81,2026-06-23,2026-06-27,3,DC-03,FastFreight Co
SH-043-S-016-PEACH-007,A-043-S-016-PEACH-007,C-2026-PEACH,PEACH-007,S-016,42,2026-06-24,2026-06-26,1,DC-02,Reliable Transport
SH-044-S-016-PEACH-008,A-044-S-016-PEACH-008,C-2026-PEACH,PEACH-008,S-016,72,2026-06-25,2026-06-28,3,DC-01,QuickShip Logistics
SH-045-S-016-PEACH-009,A-045-S-016-PEACH-009,C-2026-PEACH,PEACH-009,S-016,84,2026-06-25,2026-06-28,3,DC-03,Reliable Transport
SH-046-S-016-PEACH-010,A-046-S-016-PEACH-010,C-2026-PEACH,PEACH-010,S-016,50,2026-06-26,2026-06-28,2,DC-01,Reliable Transport
SH-047-S-016-PEACH-011,A-047-S-016-PEACH-011,C-2026-PEACH,PEACH-011,S-016,56,2026-06-27,2026-06-29,2,DC-02,Reliable Transport
SH-048-S-016-PEACH-012,A-048-S-016-PEACH-012,C-2026-PEACH,PEACH-012,S-016,68,2026-06-25,2026-06-28,2,DC-02,QuickShip Logistics
SH-049-S-037-PEACH-001,A-049-S-037-PEACH-001,C-2026-PEACH,PEACH-001,S-037,199,2026-06-26,2026-06-29,8,DC-03,QuickShip Logistics
SH-050-S-037-PEACH-002,A-050-S-037-PEACH-002,C-2026-PEACH,PEACH-002,S-037,55,2026-06-23,2026-06-27,2,DC-01,Reliable Transport
SH-051-S-037-PEACH-003,A-051-S-037-PEACH-003,C-2026-PEACH,PEACH-003,S-037,14,2026-06-22,2026-06-26,1,DC-03,Reliable Transport
SH-052-S-037-PEACH-004,A-052-S-037-PEACH-004,C-2026-PEACH,PEACH-004,S-037,31,2026-06-22,2026-06-26,1,DC-02,FastFreight Co
SH-053-S-037-PEACH-005,A-053-S-037-PEACH-005,C-2026-PEACH,PEACH-005,S-037,18,2026-06-25,2026-06-29,1,DC-01,Reliable Transport
SH-054-S-037-PEACH-006,A-054-S-037-PEACH-006,C-2026-PEACH,PEACH-006,S-037,25,2026-06-23,2026-06-27,1,DC-03,Reliable Transport
SH-055-S-037-PEACH-007,A-055-S-037-PEACH-007,C-2026-PEACH,PEACH-007,S-037,33,2026-06-23,2026-06-27,1,DC-03,Reliable Transport
SH-056-S-037-PEACH-008,A-056-S-037-PEACH-008,C-2026-PEACH,PEACH-008,S-037,46,2026-06-26,2026-06-29,1,DC-01,FastFreight Co
SH-057-S-037-PEACH-009,A-057-S-037-PEACH-009,C-2026-PEACH,PEACH-009,S-037,39,2026-06-25,2026-06-28,1,DC-01,FastFreight Co
SH-058-S-037-PEACH-010,A-058-S-037-PEACH-010,C-2026-PEACH,PEACH-010,S-037,34,2026-06-22,2026-06-26,1,DC-03,FastFreight Co
SH-059-S-037-PEACH-011,A-059-S-037-PEACH-011,C-2026-PEACH,PEACH-011,S-037,49,2026-06-25,2026-06-27,2,DC-03,QuickShip Logistics
SH-060-S-037-PEACH-012,A-060-S-037-PEACH-012,C-2026-PEACH,PEACH-012,S-037,42,2026-06-23,2026-06-26,1,DC-02,Reliable Transport
SH-061-S-011-PEACH-001,A-061-S-011-PEACH-001,C-2026-PEACH,PEACH-001,S-011,174,2026-06-23,2026-06-26,7,DC-01,Reliable Transport
SH-062-S-011-PEACH-002,A-062-S-011-PEACH-002,C-2026-PEACH,PEACH-002,S-011,34,2026-06-26,2026-06-29,1,DC-02,QuickShip Logistics
SH-063-S-011-PEACH-003,A-063-S-011-PEACH-003,C-2026-PEACH,PEACH-003,S-011,54,2026-06-22,2026-06-26,2,DC-01,Reliable Transport
SH-064-S-011-PEACH-004,A-064-S-011-PEACH-004,C-2026-PEACH,PEACH-004,S-011,40,2026-06-24,2026-06-28,1,DC-01,FastFreight Co
SH-065-S-011-PEACH-005,A-065-S-011-PEACH-005,C-2026-PEACH,PEACH-005,S-011,35,2026-06-25,2026-06-29,1,DC-02,QuickShip Logistics
SH-066-S-011-PEACH-006,A-066-S-011-PEACH-006,C-2026-PEACH,PEACH-006,S-011,29,2026-06-26,2026-06-29,1,DC-01,QuickShip Logistics
SH-067-S-011-PEACH-007,A-067-S-011-PEACH-007,C-2026-PEACH,PEACH-007,S-011,30,2026-06-27,2026-06-29,1,DC-03,QuickShip Logistics
SH-068-S-011-PEACH-008,A-068-S-011-PEACH-008,C-2026-PEACH,PEACH-008,S-011,32,2026-06-23,2026-06-27,1,DC-03,FastFreight Co
SH-069-S-011-PEACH-009,A-069-S-011-PEACH-009,C-2026-PEACH,PEACH-009,S-011,38,2026-06-26,2026-06-29,1,DC-03,Reliable Transport
SH-070-S-011-PEACH-010,A-070-S-011-PEACH-010,C-2026-PEACH,PEACH-010,S-011,40,2026-06-22,2026-06-26,1,DC-03,QuickShip Logistics
SH-071-S-011-PEACH-011,A-071-S-011-PEACH-011,C-2026-PEACH,PEACH-011,S-011,51,2026-06-25,2026-06-27,2,DC-02,QuickShip Logistics
SH-072-S-011-PEACH-012,A-072-S-011-PEACH-012,C-2026-PEACH,PEACH-012,S-011,45,2026-06-23,2026-06-26,1,DC-01,QuickShip Logistics
SH-073-S-021-PEACH-001,A-073-S-021-PEACH-001,C-2026-PEACH,PEACH-001,S-021,161,2026-06-23,2026-06-27,6,DC-01,Reliable Transport
SH-074-S-021-PEACH-002,A-074-S-021-PEACH-002,C-2026-PEACH,PEACH-002,S-021,76,2026-06-25,2026-06-27,3,DC-03,Reliable Transport
SH-075-S-021-PEACH-003,A-075-S-021-PEACH-003,C-2026-PEACH,PEACH-003,S-021,49,2026-06-26,2026-06-28,2,DC-02,Reliable Transport
SH-076-S-021-PEACH-004,A-076-S-021-PEACH-004,C-2026-PEACH,PEACH-004,S-021,74,2026-06-22,2026-06-26,3,DC-01,FastFreight Co
SH-077-S-021-PEACH-005,A-077-S-021-PEACH-005,C-2026-PEACH,PEACH-005,S-021,94,2026-06-26,2026-06-29,3,DC-02,Reliable Transport
SH-078-S-021-PEACH-006,A-078-S-021-PEACH-006,C-2026-PEACH,PEACH-006,S-021,45,2026-06-23,2026-06-26,1,DC-02,QuickShip Logistics
SH-079-S-021-PEACH-007,A-079-S-021-PEACH-007,C-2026-PEACH,PEACH-007,S-021,70,2026-06-22,2026-06-26,2,DC-02,QuickShip Logistics
SH-080-S-021-PEACH-008,A-080-S-021-PEACH-008,C-2026-PEACH,PEACH-008,S-021,70,2026-06-26,2026-06-28,2,DC-03,Reliable Transport
SH-081-S-021-PEACH-009,A-081-S-021-PEACH-009,C-2026-PEACH,PEACH-009,S-021,55,2026-06-26,2026-06-28,2,DC-02,Reliable Transport
SH-082-S-021-PEACH-010,A-082-S-021-PEACH-010,C-2026-PEACH,PEACH-010,S-021,81,2026-06-25,2026-06-27,3,DC-03,QuickShip Logistics
SH-083-S-021-PEACH-011,A-083-S-021-PEACH-011,C-2026-PEACH,PEACH-011,S-021,53,2026-06-25,2026-06-27,2,DC-03,FastFreight Co
SH-084-S-021-PEACH-012,A-084-S-021-PEACH-012,C-2026-PEACH,PEACH-012,S-021,79,2026-06-25,2026-06-28,3,DC-02,FastFreight Co
SH-085-S-035-PEACH-001,A-085-S-035-PEACH-001,C-2026-PEACH,PEACH-001,S-035,181,2026-06-23,2026-06-27,7,DC-01,Reliable Transport
SH-086-S-035-PEACH-002,A-086-S-035-PEACH-002,C-2026-PEACH,PEACH-002,S-035,38,2026-06-24,2026-06-27,1,DC-03,Reliable Transport
SH-087-S-035-PEACH-003,A-087-S-035-PEACH-003,C-2026-PEACH,PEACH-003,S-035,29,2026-06-27,2026-06-29,1,DC-02,QuickShip Logistics
SH-088-S-035-PEACH-004,A-088-S-035-PEACH-004,C-2026-PEACH,PEACH-004,S-035,43,2026-06-26,2026-06-28,1,DC-01,FastFreight Co
SH-089-S-035-PEACH-005,A-089-S-035-PEACH-005,C-2026-PEACH,PEACH-005,S-035,54,2026-06-24,2026-06-27,2,DC-01,FastFreight Co
SH-090-S-035-PEACH-006,A-090-S-035-PEACH-006,C-2026-PEACH,PEACH-006,S-035,50,2026-06-24,2026-06-28,2,DC-03,QuickShip Logistics
SH-091-S-035-PEACH-007,A-091-S-035-PEACH-007,C-2026-PEACH,PEACH-007,S-035,34,2026-06-24,2026-06-26,1,DC-03,Reliable Transport
SH-092-S-035-PEACH-008,A-092-S-035-PEACH-008,C-2026-PEACH,PEACH-008,S-035,46,2026-06-26,2026-06-28,1,DC-01,FastFreight Co
SH-093-S-035-PEACH-009,A-093-S-035-PEACH-009,C-2026-PEACH,PEACH-009,S-035,25,2026-06-24,2026-06-27,1,DC-03,Reliable Transport
SH-094-S-035-PEACH-010,A-094-S-035-PEACH-010,C-2026-PEACH,PEACH-010,S-035,19,2026-06-24,2026-06-28,1,DC-03,QuickShip Logistics
SH-095-S-035-PEACH-011,A-095-S-035-PEACH-011,C-2026-PEACH,PEACH-011,S-035,25,2026-06-22,2026-06-26,1,DC-03,FastFreight Co
SH-096-S-035-PEACH-012,A-096-S-035-PEACH-012,C-2026-PEACH,PEACH-012,S-035,16,2026-06-22,2026-06-26,1,DC-02,QuickShip Logistics
SH-097-S-058-PEACH-001,A-097-S-058-PEACH-001,C-2026-PEACH,PEACH-001,S-058,191,2026-06-26,2026-06-29,7,DC-02,FastFreight Co
SH-098-S-058-PEACH-002,A-098-S-058-PEACH-002,C-2026-PEACH,PEACH-002,S-058,32,2026-06-25,2026-06-27,1,DC-01,QuickShip Logistics
SH-099-S-058-PEACH-003,A-099-S-058-PEACH-003,C-2026-PEACH,PEACH-003,S-058,22,2026-06-22,2026-06-26,1,DC-01,FastFreight Co
SH-100-S-058-PEACH-004,A-100-S-058-PEACH-004,C-2026-PEACH,PEACH-004,S-058,41,2026-06-23,2026-06-27,1,DC-02,QuickShip Logistics
SH-101-S-058-PEACH-005,A-101-S-058-PEACH-005,C-2026-PEACH,PEACH-005,S-058,31,2026-06-26,2026-06-28,1,DC-03,FastFreight Co
SH-102-S-058-PEACH-006,A-102-S-058-PEACH-006,C-2026-PEACH,PEACH-006,S-058,43,2026-06-23,2026-06-27,1,DC-03,QuickShip Logistics
SH-103-S-058-PEACH-007,A-103-S-058-PEACH-007,C-2026-PEACH,PEACH-007,S-058,21,2026-06-24,2026-06-26,1,DC-01,QuickShip Logistics
SH-104-S-058-PEACH-008,A-104-S-058-PEACH-008,C-2026-PEACH,PEACH-008,S-058,34,2026-06-24,2026-06-28,1,DC-01,QuickShip Logistics
SH-105-S-058-PEACH-009,A-105-S-058-PEACH-009,C-2026-PEACH,PEACH-009,S-058,33,2026-06-27,2026-06-29,1,DC-02,Reliable Transport
SH-106-S-058-PEACH-010,A-106-S-058-PEACH-010,C-2026-PEACH,PEACH-010,S-058,17,2026-06-25,2026-06-29,1,DC-02,FastFreight Co
SH-107-S-058-PEACH-011,A-107-S-058-PEACH-011,C-2026-PEACH,PEACH-011,S-058,44,2026-06-23,2026-06-27,1,DC-03,Reliable Transport
SH-108-S-058-PEACH-012,A-108-S-058-PEACH-012,C-2026-PEACH,PEACH-012,S-058,28,2026-06-24,2026-06-28,1,DC-01,FastFreight Co
SH-109-S-066-PEACH-001,A-109-S-066-PEACH-001,C-2026-PEACH,PEACH-001,S-066,219,2026-06-25,2026-06-27,9,DC-01,Reliable Transport
SH-110-S-066-PEACH-002,A-110-S-066-PEACH-002,C-2026-PEACH,PEACH-002,S-066,87,2026-06-26,2026-06-28,3,DC-03,QuickShip Logistics
SH-111-S-066-PEACH-003,A-111-S-066-PEACH-003,C-2026-PEACH,PEACH-003,S-066,71,2026-06-25,2026-06-27,2,DC-01,FastFreight Co
SH-112-S-066-PEACH-004,A-112-S-066-PEACH-004,C-2026-PEACH,PEACH-004,S-066,71,2026-06-24,2026-06-28,2,DC-01,FastFreight Co
SH-113-S-066-PEACH-005,A-113-S-066-PEACH-005,C-2026-PEACH,PEACH-005,S-066,89,2026-06-24,2026-06-26,3,DC-01,FastFreight Co
SH-114-S-066-PEACH-006,A-114-S-066-PEACH-006,C-2026-PEACH,PEACH-006,S-066,66,2026-06-26,2026-06-29,2,DC-03,FastFreight Co
SH-115-S-066-PEACH-007,A-115-S-066-PEACH-007,C-2026-PEACH,PEACH-007,S-066,64,2026-06-24,2026-06-28,2,DC-01,FastFreight Co
SH-116-S-066-PEACH-008,A-116-S-066-PEACH-008,C-2026-PEACH,PEACH-008,S-066,68,2026-06-22,2026-06-26,2,DC-02,Reliable Transport
SH-117-S-066-PEACH-009,A-117-S-066-PEACH-009,C-2026-PEACH,PEACH-009,S-066,61,2026-06-25,2026-06-27,2,DC-03,QuickShip Logistics
SH-118-S-066-PEACH-010,A-118-S-066-PEACH-010,C-2026-PEACH,PEACH-010,S-066,40,2026-06-22,2026-06-26,1,DC-02,Reliable Transport
SH-119-S-066-PEACH-011,A-119-S-066-PEACH-011,C-2026-PEACH,PEACH-011,S-066,40,2026-06-27,2026-06-29,1,DC-03,FastFreight Co
SH-120-S-066-PEACH-012,A-120-S-066-PEACH-012,C-2026-PEACH,PEACH-012,S-066,63,2026-06-26,2026-06-28,2,DC-01,FastFreight Co
SH-121-S-019-PEACH-001,A-121-S-019-PEACH-001,C-2026-PEACH,PEACH-001,S-019,180,2026-06-23,2026-06-26,7,DC-01,FastFreight Co
SH-122-S-019-PEACH-002,A-122-S-019-PEACH-002,C-2026-PEACH,PEACH-002,S-019,79,2026-06-26,2026-06-28,3,DC-03,QuickShip Logistics
SH-123-S-019-PEACH-003,A-123-S-019-PEACH-003,C-2026-PEACH,PEACH-003,S-019,67,2026-06-22,2026-06-26,2,DC-03,QuickShip Logistics
SH-124-S-019-PEACH-004,A-124-S-019-PEACH-004,C-2026-PEACH,PEACH-004,S-019,78,2026-06-26,2026-06-29,3,DC-02,QuickShip Logistics
SH-125-S-019-PEACH-005,A-125-S-019-PEACH-005,C-2026-PEACH,PEACH-005,S-019,70,2026-06-24,2026-06-26,2,DC-02,QuickShip Logistics
SH-126-S-019-PEACH-006,A-126-S-019-PEACH-006,C-2026-PEACH,PEACH-006,S-019,55,2026-06-25,2026-06-28,2,DC-03,QuickShip Logistics
SH-127-S-019-PEACH-007,A-127-S-019-PEACH-007,C-2026-PEACH,PEACH-007,S-019,81,2026-06-24,2026-06-26,3,DC-03,FastFreight Co
SH-128-S-019-PEACH-008,A-128-S-019-PEACH-008,C-2026-PEACH,PEACH-008,S-019,39,2026-06-25,2026-06-29,1,DC-02,Reliable Transport
SH-129-S-019-PEACH-009,A-129-S-019-PEACH-009,C-2026-PEACH,PEACH-009,S-019,81,2026-06-27,2026-06-29,3,DC-03,QuickShip Logistics
SH-130-S-019-PEACH-010,A-130-S-019-PEACH-010,C-2026-PEACH,PEACH-010,S-019,51,2026-06-24,2026-06-28,2,DC-03,Reliable Transport
SH-131-S-019-PEACH-011,A-131-S-019-PEACH-011,C-2026-PEACH,PEACH-011,S-019,52,2026-06-26,2026-06-28,2,DC-02,QuickShip Logistics
SH-132-S-019-PEACH-012,A-132-S-019-PEACH-012,C-2026-PEACH,PEACH-012,S-019,82,2026-06-23,2026-06-27,3,DC-01,FastFreight Co
SH-133-S-056-PEACH-001,A-133-S-056-PEACH-001,C-2026-PEACH,PEACH-001,S-056,200,2026-06-24,2026-06-28,8,DC-01,Reliable Transport
SH-134-S-056-PEACH-002,A-134-S-056-PEACH-002,C-2026-PEACH,PEACH-002,S-056,94,2026-06-26,2026-06-28,3,DC-02,Reliable Transport
SH-135-S-056-PEACH-003,A-135-S-056-PEACH-003,C-2026-PEACH,PEACH-003,S-056,38,2026-06-24,2026-06-27,1,DC-02,FastFreight Co
SH-136-S-056-PEACH-004,A-136-S-056-PEACH-004,C-2026-PEACH,PEACH-004,S-056,59,2026-06-24,2026-06-26,2,DC-02,FastFreight Co
SH-137-S-056-PEACH-005,A-137-S-056-PEACH-005,C-2026-PEACH,PEACH-005,S-056,78,2026-06-24,2026-06-26,3,DC-02,FastFreight Co
SH-138-S-056-PEACH-006,A-138-S-056-PEACH-006,C-2026-PEACH,PEACH-006,S-056,82,2026-06-26,2026-06-28,3,DC-01,Reliable Transport
SH-139-S-056-PEACH-007,A-139-S-056-PEACH-007,C-2026-PEACH,PEACH-007,S-056,63,2026-06-25,2026-06-28,2,DC-03,QuickShip Logistics
SH-140-S-056-PEACH-008,A-140-S-056-PEACH-008,C-2026-PEACH,PEACH-008,S-056,72,2026-06-26,2026-06-29,3,DC-03,Reliable Transport
SH-141-S-056-PEACH-009,A-141-S-056-PEACH-009,C-2026-PEACH,PEACH-009,S-056,84,2026-06-24,2026-06-28,3,DC-02,Reliable Transport
SH-142-S-056-PEACH-010,A-142-S-056-PEACH-010,C-2026-PEACH,PEACH-010,S-056,69,2026-06-27,2026-06-29,2,DC-01,QuickShip Logistics
SH-143-S-056-PEACH-011,A-143-S-056-PEACH-011,C-2026-PEACH,PEACH-011,S-056,76,2026-06-25,2026-06-28,3,DC-01,QuickShip Logistics
SH-144-S-056-PEACH-012,A-144-S-056-PEACH-012,C-2026-PEACH,PEACH-012,S-056,95,2026-06-25,2026-06-29,3,DC-03,Reliable Transport
SH-145-S-012-PEACH-001,A-145-S-012-PEACH-001,C-2026-PEACH,PEACH-001,S-012,171,2026-06-23,2026-06-26,7,DC-02,Reliable Transport
SH-146-S-012-PEACH-002,A-146-S-012-PEACH-002,C-2026-PEACH,PEACH-002,S-012,26,2026-06-25,2026-06-27,1,DC-03,Reliable Transport
SH-147-S-012-PEACH-003,A-147-S-012-PEACH-003,C-2026-PEACH,PEACH-003,S-012,54,2026-06-23,2026-06-27,2,DC-01,FastFreight Co
SH-148-S-012-PEACH-004,A-148-S-012-PEACH-004,C-2026-PEACH,PEACH-004,S-012,42,2026-06-22,2026-06-26,1,DC-02,FastFreight Co
SH-149-S-012-PEACH-005,A-149-S-012-PEACH-005,C-2026-PEACH,PEACH-005,S-012,34,2026-06-24,2026-06-28,1,DC-02,Reliable Transport
SH-150-S-012-PEACH-006,A-150-S-012-PEACH-006,C-2026-PEACH,PEACH-006,S-012,28,2026-06-24,2026-06-28,1,DC-03,QuickShip Logistics
SH-151-S-012-PEACH-007,A-151-S-012-PEACH-007,C-2026-PEACH,PEACH-007,S-012,26,2026-06-25,2026-06-27,1,DC-02,QuickShip Logistics
SH-152-S-012-PEACH-008,A-152-S-012-PEACH-008,C-2026-PEACH,PEACH-008,S-012,54,2026-06-23,2026-06-27,2,DC-02,QuickShip Logistics
SH-153-S-012-PEACH-009,A-153-S-012-PEACH-009,C-2026-PEACH,PEACH-009,S-012,55,2026-06-22,2026-06-26,2,DC-03,FastFreight Co
SH-154-S-012-PEACH-010,A-154-S-012-PEACH-010,C-2026-PEACH,PEACH-010,S-012,44,2026-06-24,2026-06-26,1,DC-02,QuickShip Logistics
SH-155-S-012-PEACH-011,A-155-S-012-PEACH-011,C-2026-PEACH,PEACH-011,S-012,18,2026-06-27,2026-06-29,1,DC-03,FastFreight Co
SH-156-S-012-PEACH-012,A-156-S-012-PEACH-012,C-2026-PEACH,PEACH-012,S-012,48,2026-06-26,2026-06-28,2,DC-01,FastFreight Co
SH-157-S-029-PEACH-001,A-157-S-029-PEACH-001,C-2026-PEACH,PEACH-001,S-029,208,2026-06-24,2026-06-26,8,DC-03,QuickShip Logistics
SH-158-S-029-PEACH-002,A-158-S-029-PEACH-002,C-2026-PEACH,PEACH-002,S-029,38,2026-06-26,2026-06-29,1,DC-01,QuickShip Logistics
SH-159-S-029-PEACH-003,A-159-S-029-PEACH-003,C-2026-PEACH,PEACH-003,S-029,70,2026-06-23,2026-06-27,2,DC-01,QuickShip Logistics
SH-160-S-029-PEACH-004,A-160-S-029-PEACH-004,C-2026-PEACH,PEACH-004,S-029,86,2026-06-22,2026-06-26,3,DC-03,Reliable Transport
SH-161-S-029-PEACH-005,A-161-S-029-PEACH-005,C-2026-PEACH,PEACH-005,S-029,44,2026-06-25,2026-06-28,1,DC-01,Reliable Transport
SH-162-S-029-PEACH-006,A-162-S-029-PEACH-006,C-2026-PEACH,PEACH-006,S-029,51,2026-06-22,2026-06-26,2,DC-01,Reliable Transport
SH-163-S-029-PEACH-007,A-163-S-029-PEACH-007,C-2026-PEACH,PEACH-007,S-029,51,2026-06-24,2026-06-28,2,DC-03,QuickShip Logistics
SH-164-S-029-PEACH-008,A-164-S-029-PEACH-008,C-2026-PEACH,PEACH-008,S-029,85,2026-06-25,2026-06-29,3,DC-03,Reliable Transport
SH-165-S-029-PEACH-009,A-165-S-029-PEACH-009,C-2026-PEACH,PEACH-009,S-029,67,2026-06-27,2026-06-29,2,DC-03,QuickShip Logistics
